code,interlevel,location,original
012813003,Bgy,Imelda (Capariaan),True
012813003,Bgy,Capariaan,True
012813003,Bgy,Imelda,True
012813004,Bgy,Elizabeth (Culao),True
012813004,Bgy,Culao,True
012813004,Bgy,Elizabeth,True
012813005,Bgy,Daquioag,True
012813006,Bgy,Escoda,True
012813007,Bgy,Ferdinand,True
012813008,Bgy,Fortuna,True
012813009,Bgy,Lydia (Pob.),False
012813009,Bgy,Lydia,True
012813010,Bgy,Mabuti,True
012813011,Bgy,Valdez,True
012813011,Bgy,Valdez (Biding),True
012813011,Bgy,Biding,True
012813012,Bgy,Ragas,True
012813012,Bgy,Tabucbuc (Ragas),True
012813012,Bgy,Tabucbuc,True
012813013,Bgy,Santiago,True
012813014,Bgy,Cacafean,True
012814000,Mun,NUEVA ERA,True
012814001,Bgy,Acnam,True
012814002,Bgy,Barangobong,True
012814003,Bgy,Barikir,True
012814004,Bgy,Bugayong,True
012814005,Bgy,Cabittauran,True
012814006,Bgy,Caray,True
012814007,Bgy,Garnaden,True
012814008,Bgy,Naguillan,True
012814008,Bgy,Naguillan (Pagpag-ong),True
012814008,Bgy,Pagpag-ong,True
012814009,Bgy,Poblacion,True
012814010,Bgy,Santo Niño,True
012814011,Bgy,Uguis,True
012815000,Mun,PAGUDPUD,True
012815001,Bgy,Aggasi,True
012815003,Bgy,Baduang,True
012815004,Bgy,Balaoi,True
012815005,Bgy,Burayoc,True
012815006,Bgy,Caunayan,True
012815007,Bgy,Dampig,True
012815008,Bgy,Ligaya,True
012815010,Bgy,Pancian,True
012815011,Bgy,Pasaleng,True
012815012,Bgy,Poblacion 1,True
012815013,Bgy,Poblacion 2,True
012815014,Bgy,Saguigui,True
012815015,Bgy,Saud,True
012815016,Bgy,Subec,True
012815017,Bgy,Tarrag,True
012815018,Bgy,Caparispisan,True
012816000,Mun,PAOAY,True
012816001,Bgy,Bacsil,True
012816002,Bgy,Cabagoan,True
012816003,Bgy,Cabangaran,True
012816004,Bgy,Callaguip,True
012816005,Bgy,Cayubog,True
